date,num_transactions,total_units,total_revenue,total_profit,day_of_week,day_name,is_weekend,month,quarter,temperature,humidity,precipitation,sunshine_hours,wind_speed,weather_condition,event_name,event_type,event_impact_factor,season_factor,weekend_factor,temperature_factor,rain_factor,sunshine_factor,combined_demand_multiplier,temp_bin,season
2023-02-10,183,211,3989.0,2288.5,4,Friday,0,2,1,16.9,74.0,7.6,3.0,21.2,Rainy,,,1.0,0.745,1.0,1.0,0.78,0.968,0.563,Cool (15-20°C),Winter
2023-02-11,172,286,5259.0,3004.5,5,Saturday,1,2,1,15.3,67.0,0.0,6.1,9.2,Partly Cloudy,,,1.0,0.748,1.35,1.0,1.0,0.993,1.002,Cool (15-20°C),Winter
2023-02-12,173,280,5059.0,2941.0,6,Sunday,1,2,1,16.8,62.0,0.0,4.7,13.4,Overcast,,,1.0,0.751,1.35,1.0,1.0,0.982,0.995,Cool (15-20°C),Winter
2023-02-13,140,217,4077.0,2344.0,0,Monday,0,2,1,18.0,62.0,0.0,6.4,24.1,Partly Cloudy,,,1.0,0.754,1.0,1.0,1.0,0.995,0.75,Cool (15-20°C),Winter
2023-02-14,138,295,5884.0,3370.5,1,Tuesday,0,2,1,14.5,64.0,0.0,5.0,5.4,Overcast,Valentine's Day,event,1.45,0.757,1.0,1.0,1.0,0.984,1.079,Cold (<15°C),Winter
2023-02-15,124,153,2664.0,1559.0,2,Wednesday,0,2,1,13.0,80.0,7.1,1.0,5.4,Rainy,,,1.0,0.76,1.0,1.0,0.78,0.952,0.564,Cold (<15°C),Winter
2023-02-16,150,227,4137.0,2397.5,3,Thursday,0,2,1,13.0,54.0,0.0,3.8,16.7,Overcast,,,1.0,0.763,1.0,1.0,1.0,0.974,0.743,Cold (<15°C),Winter
2023-02-17,133,214,3987.0,2267.0,4,Friday,0,2,1,17.9,81.0,0.0,7.7,20.5,Partly Cloudy,,,1.0,0.766,1.0,1.0,1.0,1.006,0.77,Cool (15-20°C),Winter
2023-02-18,189,309,5674.0,3269.5,5,Saturday,1,2,1,16.0,62.0,0.0,4.0,11.9,Overcast,,,1.0,0.769,1.35,1.0,1.0,0.976,1.013,Cool (15-20°C),Winter
2023-02-19,160,292,5263.0,3041.5,6,Sunday,1,2,1,18.6,50.0,1.4,3.8,8.5,Cloudy,,,1.0,0.773,1.35,1.0,1.0,0.974,1.016,Cool (15-20°C),Winter
2023-02-20,159,227,4234.0,2442.0,0,Monday,0,2,1,21.5,62.0,0.0,5.7,16.4,Partly Cloudy,,,1.0,0.776,1.0,1.0,1.0,0.99,0.768,Warm (20-25°C),Winter
2023-02-21,175,241,4158.0,2419.0,1,Tuesday,0,2,1,21.2,42.0,0.0,4.4,22.0,Overcast,,,1.0,0.779,1.0,1.0,1.0,0.979,0.763,Warm (20-25°C),Winter
2023-02-22,149,235,4303.0,2501.5,2,Wednesday,0,2,1,17.7,66.0,0.0,5.2,12.7,Partly Cloudy,,,1.0,0.783,1.0,1.0,1.0,0.986,0.772,Cool (15-20°C),Winter
2023-02-23,179,231,4283.0,2460.0,3,Thursday,0,2,1,13.7,55.0,0.0,3.4,16.5,Overcast,,,1.0,0.787,1.0,1.0,1.0,0.971,0.764,Cold (<15°C),Winter
2023-02-24,170,239,4550.0,2605.5,4,Friday,0,2,1,15.3,59.0,0.0,5.4,28.3,Partly Cloudy,,,1.0,0.79,1.0,1.0,1.0,0.987,0.78,Cool (15-20°C),Winter
2023-02-25,127,254,4106.0,2422.5,5,Saturday,1,2,1,23.8,48.0,8.2,3.0,5.3,Rainy,,,1.0,0.794,1.35,1.0,0.78,0.968,0.809,Warm (20-25°C),Winter
2023-02-26,166,346,6384.0,3666.5,6,Sunday,1,2,1,18.9,60.0,0.0,7.8,12.4,Partly Cloudy,,,1.0,0.798,1.35,1.0,1.0,1.006,1.084,Cool (15-20°C),Winter
2023-02-27,175,240,4554.0,2612.5,0,Monday,0,2,1,13.3,65.0,0.0,5.6,44.0,Partly Cloudy,,,1.0,0.802,1.0,1.0,1.0,0.989,0.793,Cold (<15°C),Winter
2023-02-28,131,236,4102.0,2398.0,1,Tuesday,0,2,1,15.7,61.0,0.0,4.7,6.5,Overcast,,,1.0,0.805,1.0,1.0,1.0,0.982,0.791,Cool (15-20°C),Winter
2023-03-01,148,235,4632.0,2640.0,2,Wednesday,0,3,1,19.8,68.0,0.0,7.8,20.9,Partly Cloudy,,,1.0,0.809,1.0,1.0,1.0,1.006,0.815,Cool (15-20°C),Spring
2023-03-02,162,221,3659.0,2187.5,3,Thursday,0,3,1,15.5,68.0,11.1,1.5,23.0,Rainy,,,1.0,0.813,1.0,1.0,0.78,0.956,0.607,Cool (15-20°C),Spring
2023-03-03,146,257,4783.0,2754.5,4,Friday,0,3,1,13.9,64.0,0.0,5.5,11.7,Partly Cloudy,,,1.0,0.817,1.0,1.0,1.0,0.988,0.808,Cold (<15°C),Spring
2023-03-04,170,258,4264.0,2522.5,5,Saturday,1,3,1,20.2,67.0,18.6,3.9,9.6,Rainy,,,1.0,0.822,1.35,1.0,0.78,0.975,0.844,Warm (20-25°C),Spring
2023-03-05,184,278,5110.0,2942.0,6,Sunday,1,3,1,17.9,57.0,18.9,3.6,6.1,Rainy,,,1.0,0.826,1.35,1.0,0.78,0.973,0.846,Cool (15-20°C),Spring
2023-03-06,171,257,4620.0,2669.5,0,Monday,0,3,1,18.9,58.0,0.0,8.8,12.1,Partly Cloudy,,,1.0,0.83,1.0,1.0,1.0,1.014,0.842,Cool (15-20°C),Spring
2023-03-07,174,265,4455.0,2615.5,1,Tuesday,0,3,1,21.3,49.0,0.0,4.2,21.8,Overcast,,,1.0,0.834,1.0,1.0,1.0,0.978,0.816,Warm (20-25°C),Spring
2023-03-08,162,200,3559.0,2069.0,2,Wednesday,0,3,1,20.1,66.0,5.5,3.1,12.0,Rainy,,,1.0,0.839,1.0,1.0,0.78,0.969,0.634,Warm (20-25°C),Spring
2023-03-09,185,235,4077.0,2371.0,3,Thursday,0,3,1,16.3,57.0,1.2,3.7,22.2,Cloudy,,,1.0,0.843,1.0,1.0,1.0,0.974,0.821,Cool (15-20°C),Spring
2023-03-10,145,203,3725.0,2118.0,4,Friday,0,3,1,16.0,62.0,9.7,2.8,6.1,Rainy,,,1.0,0.847,1.0,1.0,0.78,0.966,0.639,Cool (15-20°C),Spring
2023-03-11,167,329,5599.0,3259.5,5,Saturday,1,3,1,19.3,72.0,0.0,5.6,56.2,Partly Cloudy,,,1.0,0.852,1.35,1.0,1.0,0.989,1.137,Cool (15-20°C),Spring
2023-03-12,161,271,4514.0,2670.5,6,Sunday,1,3,1,16.8,74.0,12.0,1.7,33.4,Rainy,,,1.0,0.856,1.35,1.0,0.78,0.958,0.864,Cool (15-20°C),Spring
2023-03-13,167,203,3498.0,2025.5,0,Monday,0,3,1,23.6,60.0,5.1,2.5,5.7,Rainy,,,1.0,0.861,1.0,1.0,0.78,0.964,0.647,Warm (20-25°C),Spring
2023-03-14,210,285,5424.0,3094.5,1,Tuesday,0,3,1,22.9,68.0,0.0,6.4,9.0,Partly Cloudy,,,1.0,0.866,1.0,1.0,1.0,0.995,0.861,Warm (20-25°C),Spring
2023-03-15,155,230,4177.0,2414.0,2,Wednesday,0,3,1,20.4,57.0,0.0,7.3,5.1,Partly Cloudy,,,1.0,0.87,1.0,1.0,1.0,1.002,0.872,Warm (20-25°C),Spring
2023-03-16,148,270,4614.0,2738.5,3,Thursday,0,3,1,19.5,71.0,0.0,6.8,46.8,Partly Cloudy,,,1.0,0.875,1.0,1.0,1.0,0.998,0.873,Cool (15-20°C),Spring
2023-03-17,166,294,5491.0,3137.0,4,Friday,0,3,1,17.1,84.0,0.0,7.3,12.3,Partly Cloudy,,,1.0,0.88,1.0,1.0,1.0,1.002,0.882,Cool (15-20°C),Spring
2023-03-18,168,341,6160.0,3571.0,5,Saturday,1,3,1,23.2,79.0,0.0,10.1,8.9,Sunny,,,1.0,0.884,1.35,1.0,1.0,1.025,1.223,Warm (20-25°C),Spring
2023-03-19,152,331,5793.0,3408.5,6,Sunday,1,3,1,17.3,60.0,0.0,4.8,15.5,Overcast,,,1.0,0.889,1.35,1.0,1.0,0.982,1.179,Cool (15-20°C),Spring
2023-03-20,150,319,5548.0,3251.0,0,Monday,0,3,1,14.1,65.0,0.0,5.6,34.0,Partly Cloudy,Independence Day,holiday,1.25,0.894,1.0,1.0,1.0,0.989,1.105,Cold (<15°C),Spring
2023-03-21,162,250,4768.0,2743.0,1,Tuesday,0,3,1,21.5,69.0,0.0,9.2,37.4,Sunny,,,1.0,0.899,1.0,1.0,1.0,1.018,0.915,Warm (20-25°C),Spring
2023-03-22,184,289,4968.0,2909.0,2,Wednesday,0,3,1,19.9,59.0,0.0,4.5,47.0,Overcast,,,1.0,0.904,1.0,1.0,1.0,0.98,0.886,Cool (15-20°C),Spring
2023-03-23,144,276,4835.0,2818.5,3,Thursday,0,3,1,24.3,65.0,0.0,7.6,11.4,Partly Cloudy,,,1.0,0.909,1.0,1.0,1.0,1.005,0.913,Warm (20-25°C),Spring
2023-03-24,152,238,4152.0,2400.0,4,Friday,0,3,1,20.1,62.0,0.0,7.2,22.6,Partly Cloudy,,,1.0,0.913,1.0,1.0,1.0,1.002,0.915,Warm (20-25°C),Spring
2023-03-25,127,231,4297.0,2493.0,5,Saturday,1,3,1,20.7,59.0,24.6,2.4,16.2,Rainy,,,1.0,0.918,1.35,1.0,0.78,0.963,0.931,Warm (20-25°C),Spring
2023-03-26,163,369,6306.0,3712.5,6,Sunday,1,3,1,22.8,51.0,0.0,6.1,18.4,Partly Cloudy,,,1.0,0.923,1.35,1.0,1.0,0.993,1.238,Warm (20-25°C),Spring
2023-03-27,148,285,4946.0,2878.0,0,Monday,0,3,1,19.9,78.0,0.0,7.6,27.9,Partly Cloudy,,,1.0,0.928,1.0,1.0,1.0,1.005,0.933,Cool (15-20°C),Spring
2023-03-28,163,299,5005.0,2915.0,1,Tuesday,0,3,1,27.1,80.0,0.0,6.0,5.4,Partly Cloudy,,,1.0,0.933,1.0,1.0,1.0,0.992,0.926,Hot (25-30°C),Spring
2023-03-29,180,279,4738.0,2765.5,2,Wednesday,0,3,1,20.3,69.0,0.0,9.6,7.9,Sunny,,,1.0,0.938,1.0,1.0,1.0,1.021,0.958,Warm (20-25°C),Spring
2023-03-30,136,244,4353.0,2543.0,3,Thursday,0,3,1,24.4,46.0,0.0,8.9,10.1,Partly Cloudy,,,1.0,0.944,1.0,1.0,1.0,1.015,0.958,Warm (20-25°C),Spring
2023-03-31,174,271,4766.0,2797.0,4,Friday,0,3,1,21.0,78.0,0.0,7.8,16.7,Partly Cloudy,,,1.0,0.949,1.0,1.0,1.0,1.006,0.955,Warm (20-25°C),Spring
2023-04-01,194,364,6306.0,3637.0,5,Saturday,1,4,2,16.4,63.0,0.0,7.7,9.8,Partly Cloudy,,,1.0,0.954,1.35,1.0,1.0,1.006,1.295,Cool (15-20°C),Spring
2023-04-02,180,344,6265.0,3583.0,6,Sunday,1,4,2,22.9,51.0,1.1,4.4,6.6,Cloudy,,,1.0,0.959,1.35,1.0,1.0,0.979,1.267,Warm (20-25°C),Spring
2023-04-03,180,293,5184.0,2997.5,0,Monday,0,4,2,18.5,69.0,0.0,7.8,18.2,Partly Cloudy,,,1.0,0.964,1.0,1.0,1.0,1.006,0.97,Cool (15-20°C),Spring
2023-04-04,195,297,5543.0,3192.0,1,Tuesday,0,4,2,24.8,60.0,1.5,3.6,8.9,Cloudy,,,1.0,0.969,1.0,1.0,1.0,0.973,0.943,Warm (20-25°C),Spring
2023-04-05,176,259,4648.0,2692.0,2,Wednesday,0,4,2,21.7,54.0,0.0,8.1,19.1,Partly Cloudy,,,1.0,0.974,1.0,1.0,1.0,1.009,0.983,Warm (20-25°C),Spring
2023-04-06,145,312,5771.0,3300.5,3,Thursday,0,4,2,15.3,57.0,0.0,8.4,35.4,Partly Cloudy,,,1.0,0.979,1.0,1.0,1.0,1.011,0.99,Cool (15-20°C),Spring
2023-04-07,198,292,5393.0,3098.5,4,Friday,0,4,2,22.0,62.0,0.0,7.0,7.8,Partly Cloudy,,,1.0,0.985,1.0,1.0,1.0,1.0,0.985,Warm (20-25°C),Spring
2023-04-08,161,397,7205.0,4161.0,5,Saturday,1,4,2,24.2,62.0,0.0,4.8,10.5,Overcast,,,1.0,0.99,1.35,1.0,1.0,0.982,1.313,Warm (20-25°C),Spring
2023-04-09,184,405,7527.0,4316.5,6,Sunday,1,4,2,27.5,62.0,2.3,4.6,13.6,Cloudy,,,1.0,0.995,1.35,1.0,1.0,0.981,1.317,Hot (25-30°C),Spring
2023-04-10,138,296,5059.0,2959.0,0,Monday,0,4,2,23.6,55.0,0.0,8.5,14.1,Partly Cloudy,,,1.0,1.0,1.0,1.0,1.0,1.012,1.012,Warm (20-25°C),Spring
2023-04-11,148,282,5347.0,3053.5,1,Tuesday,0,4,2,20.4,56.0,0.0,7.4,6.5,Partly Cloudy,,,1.0,1.005,1.0,1.0,1.0,1.003,1.008,Warm (20-25°C),Spring
2023-04-12,118,296,5805.0,3285.0,2,Wednesday,0,4,2,19.7,68.0,0.0,9.8,23.7,Sunny,,,1.0,1.01,1.0,1.0,1.0,1.022,1.033,Cool (15-20°C),Spring
2023-04-13,155,306,5198.0,3069.0,3,Thursday,0,4,2,20.5,65.0,0.0,10.8,11.8,Sunny,,,1.0,1.015,1.0,1.0,1.0,1.03,1.046,Warm (20-25°C),Spring
2023-04-14,157,298,5567.0,3256.5,4,Friday,0,4,2,24.8,62.0,0.0,7.6,17.5,Partly Cloudy,,,1.0,1.021,1.0,1.0,1.0,1.005,1.026,Warm (20-25°C),Spring
2023-04-15,181,408,7471.0,4304.5,5,Saturday,1,4,2,17.6,75.0,0.0,6.6,6.3,Partly Cloudy,,,1.0,1.026,1.35,1.0,1.0,0.997,1.38,Cool (15-20°C),Spring
2023-04-16,196,411,7588.0,4323.5,6,Sunday,1,4,2,25.2,61.0,0.0,7.8,7.5,Partly Cloudy,,,1.0,1.031,1.35,1.0,1.0,1.006,1.401,Hot (25-30°C),Spring
2023-04-17,188,305,6112.0,3448.5,0,Monday,0,4,2,21.1,61.0,0.0,8.9,11.3,Partly Cloudy,,,1.0,1.036,1.0,1.0,1.0,1.015,1.052,Warm (20-25°C),Spring
2023-04-18,132,301,5467.0,3146.5,1,Tuesday,0,4,2,21.2,70.0,0.0,8.7,25.4,Partly Cloudy,,,1.0,1.041,1.0,1.0,1.0,1.014,1.055,Warm (20-25°C),Spring
2023-04-19,186,310,5541.0,3191.5,2,Wednesday,0,4,2,21.7,61.0,0.0,9.1,15.2,Sunny,,,1.0,1.046,1.0,1.0,1.0,1.017,1.064,Warm (20-25°C),Spring
2023-04-20,152,335,6058.0,3551.0,3,Thursday,0,4,2,26.2,76.0,0.0,7.8,9.7,Partly Cloudy,,,1.0,1.051,1.0,1.0,1.0,1.006,1.058,Hot (25-30°C),Spring
2023-04-21,178,465,7941.0,4650.0,4,Friday,0,4,2,24.9,39.0,0.0,9.4,9.1,Sunny,Eid al-Fitr,holiday,1.5,1.056,1.0,1.0,1.0,1.019,1.615,Warm (20-25°C),Spring
2023-04-22,140,402,7251.0,4141.0,5,Saturday,1,4,2,21.5,56.0,0.0,9.5,14.1,Sunny,,,1.0,1.062,1.35,1.0,1.0,1.02,1.462,Warm (20-25°C),Spring
2023-04-23,177,408,7198.0,4197.0,6,Sunday,1,4,2,23.9,63.0,0.0,10.7,8.5,Sunny,,,1.0,1.067,1.35,1.0,1.0,1.03,1.482,Warm (20-25°C),Spring
2023-04-24,177,334,6223.0,3587.0,0,Monday,0,4,2,22.7,78.0,0.0,10.4,12.7,Sunny,,,1.0,1.072,1.0,1.0,1.0,1.027,1.101,Warm (20-25°C),Spring
2023-04-25,199,363,6948.0,3960.0,1,Tuesday,0,4,2,19.2,57.0,0.0,9.8,38.4,Sunny,,,1.0,1.077,1.0,1.0,1.0,1.022,1.101,Cool (15-20°C),Spring
2023-04-26,194,325,6171.0,3512.0,2,Wednesday,0,4,2,22.8,73.0,0.0,11.7,6.8,Sunny,,,1.0,1.082,1.0,1.0,1.0,1.038,1.122,Warm (20-25°C),Spring
2023-04-27,211,347,6720.0,3831.5,3,Thursday,0,4,2,23.0,74.0,0.0,10.0,18.1,Sunny,,,1.0,1.087,1.0,1.0,1.0,1.024,1.113,Warm (20-25°C),Spring
2023-04-28,162,320,5509.0,3217.5,4,Friday,0,4,2,23.6,46.0,0.0,10.0,11.0,Sunny,,,1.0,1.091,1.0,1.0,1.0,1.024,1.118,Warm (20-25°C),Spring
2023-04-29,197,425,7522.0,4353.5,5,Saturday,1,4,2,24.2,81.0,0.0,6.7,21.5,Partly Cloudy,,,1.0,1.096,1.35,1.0,1.0,0.998,1.477,Warm (20-25°C),Spring
2023-04-30,174,392,7381.0,4185.0,6,Sunday,1,4,2,24.0,53.0,0.0,9.6,10.8,Sunny,,,1.0,1.101,1.35,1.0,1.0,1.021,1.518,Warm (20-25°C),Spring
2023-05-01,152,345,6140.0,3573.5,0,Monday,0,5,2,27.9,69.0,0.0,7.4,6.8,Partly Cloudy,Labour Day,holiday,1.15,1.106,1.0,1.0,1.0,1.003,1.276,Hot (25-30°C),Spring
2023-05-02,173,392,6979.0,4043.5,1,Tuesday,0,5,2,28.7,74.0,0.0,11.5,31.9,Sunny,,,1.0,1.111,1.0,1.15,1.0,1.036,1.324,Hot (25-30°C),Spring
2023-05-03,156,317,5369.0,3163.0,2,Wednesday,0,5,2,23.9,73.0,0.0,10.9,5.4,Sunny,,,1.0,1.116,1.0,1.0,1.0,1.031,1.151,Warm (20-25°C),Spring
2023-05-04,163,323,5753.0,3336.5,3,Thursday,0,5,2,22.9,84.0,0.0,10.4,10.0,Sunny,,,1.0,1.12,1.0,1.0,1.0,1.027,1.151,Warm (20-25°C),Spring
2023-05-05,144,364,6311.0,3683.5,4,Friday,0,5,2,29.5,65.0,0.0,10.9,20.3,Sunny,,,1.0,1.125,1.0,1.15,1.0,1.031,1.334,Hot (25-30°C),Spring
2023-05-06,174,440,8080.0,4640.5,5,Saturday,1,5,2,22.9,83.0,0.0,11.4,8.5,Sunny,,,1.0,1.13,1.35,1.0,1.0,1.035,1.579,Warm (20-25°C),Spring
2023-05-07,196,403,7383.0,4219.0,6,Sunday,1,5,2,22.6,64.0,0.0,7.2,12.4,Partly Cloudy,,,1.0,1.134,1.35,1.0,1.0,1.002,1.534,Warm (20-25°C),Spring
2023-05-08,184,370,6216.0,3632.5,0,Monday,0,5,2,30.4,71.0,0.0,13.9,5.2,Sunny,,,1.0,1.139,1.0,1.15,1.0,1.055,1.382,Very Hot (>30°C),Spring
2023-05-09,184,371,6255.0,3658.5,1,Tuesday,0,5,2,31.3,76.0,0.0,8.8,15.3,Partly Cloudy,,,1.0,1.144,1.0,1.15,1.0,1.014,1.334,Very Hot (>30°C),Spring
2023-05-10,155,365,6232.0,3635.0,2,Wednesday,0,5,2,27.5,57.0,0.0,12.9,37.7,Sunny,,,1.0,1.148,1.0,1.0,1.0,1.047,1.202,Hot (25-30°C),Spring
